OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_SCALE,NULLABLE,DATA_DEFAULT,COMMENTS,IS_PK,PK정보,AK정보,FK정보,개인정보여부_추정
SHOP,TB_CUST_MST,1,CUST_ID,VARCHAR2,20,,N,,CUST 식별번호,Y,PK01,,,N
SHOP,TB_CUST_MST,2,CUST_NM,VARCHAR2,100,,Y,,CUST 명칭,N,,,,Y
SHOP,TB_CUST_MST,3,CUST_ADDR,VARCHAR2,300,,Y,,CUST 주소,N,,,,Y
SHOP,TB_CUST_MST,4,CUST_TEL,VARCHAR2,20,,Y,,CUST 연락처,N,,,,Y
SHOP,TB_CUST_MST,5,CUST_EMAIL,VARCHAR2,100,,Y,,CUST 이메일,N,,,,Y
SHOP,TB_CUST_MST,6,BIZ_NO,VARCHAR2,20,,Y,,사업자번호,N,,AK_1-01,,N
SHOP,TB_CUST_MST,7,USE_YN,CHAR,1,,N,'Y',사용여부,N,,,,N
SHOP,TB_CUST_MST,8,REG_ID,VARCHAR2,50,,N,,등록자,N,,,,N
SHOP,TB_CUST_MST,9,REG_DT,VARCHAR2,14,,N,,등록일시,N,,,,N
SHOP,TB_CUST_MST,10,UPD_ID,VARCHAR2,50,,Y,,수정자,N,,,,N
SHOP,TB_CUST_MST,11,UPD_DT,VARCHAR2,14,,Y,,수정일시,N,,,,N
SHOP,TB_CUST_DTL,1,CUST_ID,VARCHAR2,20,,N,,CUST 식별번호,Y,PK01,,,N
SHOP,TB_CUST_DTL,2,CUST_ID,VARCHAR2,20,,N,,CUST 참조키,N,,,TB_CUST_MST.CUST_ID,N
SHOP,TB_CUST_DTL,3,SEQ_NO,NUMBER,5,0,N,,일련번호,N,,,,N
SHOP,TB_CUST_DTL,4,AMT,NUMBER,15,2,Y,0,금액,N,,,,N
SHOP,TB_CUST_DTL,5,QTY,NUMBER,9,0,Y,0,수량,N,,,,N
SHOP,TB_CUST_DTL,6,STAT_CD,VARCHAR2,10,,Y,,상태코드,N,,,,N
SHOP,TB_CUST_DTL,7,REG_ID,VARCHAR2,50,,N,,등록자,N,,,,N
SHOP,TB_CUST_DTL,8,REG_DT,VARCHAR2,14,,N,,등록일시,N,,,,N
SHOP,TB_CUST_DTL,9,UPD_ID,VARCHAR2,50,,Y,,수정자,N,,,,N
SHOP,TB_CUST_DTL,10,UPD_DT,VARCHAR2,14,,Y,,수정일시,N,,,,N
SHOP,TB_CUST_HIST,1,CUST_ID,VARCHAR2,20,,N,,CUST 식별번호,Y,PK01,,,N
SHOP,TB_CUST_HIST,2,CUST_ID,VARCHAR2,20,,N,,CUST 참조키,N,,,TB_CUST_MST.CUST_ID,N
SHOP,TB_CUST_HIST,3,CHG_DT,VARCHAR2,14,,N,,변경일시,N,,,,N
SHOP,TB_CUST_HIST,4,CHG_CN,VARCHAR2,500,,Y,,변경내용,N,,,,N
SHOP,TB_CUST_HIST,5,CHG_ID,VARCHAR2,50,,Y,,변경자,N,,,,N
SHOP,TB_CUST_HIST,6,REG_ID,VARCHAR2,50,,N,,등록자,N,,,,N
SHOP,TB_CUST_HIST,7,REG_DT,VARCHAR2,14,,N,,등록일시,N,,,,N
SHOP,TB_CUST_HIST,8,UPD_ID,VARCHAR2,50,,Y,,수정자,N,,,,N
SHOP,TB_CUST_HIST,9,UPD_DT,VARCHAR2,14,,Y,,수정일시,N,,,,N
SHOP,TB_CUST_CD,1,CUST_ID,VARCHAR2,20,,N,,CUST 식별번호,Y,PK01,,,N
SHOP,TB_CUST_CD,2,CD_NM,VARCHAR2,100,,N,,코드명,N,,,,Y
SHOP,TB_CUST_CD,3,CD_DESC,VARCHAR2,300,,Y,,코드설명,N,,,,N
SHOP,TB_CUST_CD,4,SORT_ORD,NUMBER,5,0,Y,,정렬순서,N,,,,N
SHOP,TB_CUST_CD,5,REG_ID,VARCHAR2,50,,N,,등록자,N,,,,N
SHOP,TB_CUST_CD,6,REG_DT,VARCHAR2,14,,N,,등록일시,N,,,,N
SHOP,TB_CUST_CD,7,UPD_ID,VARCHAR2,50,,Y,,수정자,N,,,,N
SHOP,TB_CUST_CD,8,UPD_DT,VARCHAR2,14,,Y,,수정일시,N,,,,N
SHOP,TB_ORD_MST,1,ORD_ID,VARCHAR2,20,,N,,ORD 식별번호,Y,PK01,,,N
SHOP,TB_ORD_MST,2,ORD_NM,VARCHAR2,100,,Y,,ORD 명칭,N,,,,Y
SHOP,TB_ORD_MST,3,ORD_ADDR,VARCHAR2,300,,Y,,ORD 주소,N,,,,Y
SHOP,TB_ORD_MST,4,ORD_TEL,VARCHAR2,20,,Y,,ORD 연락처,N,,,,Y
SHOP,TB_ORD_MST,5,ORD_EMAIL,VARCHAR2,100,,Y,,ORD 이메일,N,,,,Y
SHOP,TB_ORD_MST,6,BIZ_NO,VARCHAR2,20,,Y,,사업자번호,N,,AK_1-01,,N
SHOP,TB_ORD_MST,7,USE_YN,CHAR,1,,N,'Y',사용여부,N,,,,N
SHOP,TB_ORD_MST,8,REG_ID,VARCHAR2,50,,N,,등록자,N,,,,N
SHOP,TB_ORD_MST,9,REG_DT,VARCHAR2,14,,N,,등록일시,N,,,,N
SHOP,TB_ORD_MST,10,UPD_ID,VARCHAR2,50,,Y,,수정자,N,,,,N
SHOP,TB_ORD_MST,11,UPD_DT,VARCHAR2,14,,Y,,수정일시,N,,,,N
SHOP,TB_ORD_DTL,1,ORD_ID,VARCHAR2,20,,N,,ORD 식별번호,Y,PK01,,,N
SHOP,TB_ORD_DTL,2,ORD_ID,VARCHAR2,20,,N,,ORD 참조키,N,,,TB_ORD_MST.ORD_ID,N
SHOP,TB_ORD_DTL,3,SEQ_NO,NUMBER,5,0,N,,일련번호,N,,,,N
SHOP,TB_ORD_DTL,4,AMT,NUMBER,15,2,Y,0,금액,N,,,,N
SHOP,TB_ORD_DTL,5,QTY,NUMBER,9,0,Y,0,수량,N,,,,N
